transaction_id,user_id,date_key,transaction_datetime,hour,time_bucket,payment_method,category,merchant,platform,device_type,city,amount,amount_bucket,net_amount,cashback_earned,discount_applied,total_savings,savings_pct,status,is_success,is_failed,is_pending,failure_reason,processing_time_sec,processing_speed,is_flagged,is_flagged_int,fraud_reason,is_refunded,is_refunded_int,refund_amount
TXN0000582,USR00271,20240101,2024-01-01 00:24:19,0,Night,UPI,Groceries,DMart,Web Browser,Mac,Mumbai,1549.36,Medium (₹500-2K),1549.36,0.0,0.0,0.0,0.0,Success,1,0,0,,1.75,Fast,False,0,,False,0,0.0
TXN0001212,USR00141,20240101,2024-01-01 00:24:33,0,Night,Credit Card,Travel,GoIbibo,Mobile App,Android,Mumbai,17512.25,High (₹10K-50K),17512.25,0.0,0.0,0.0,0.0,Success,1,0,0,,0.68,Instant,True,1,Suspicious Late Night Transaction,False,0,0.0
TXN0001694,USR00237,20240101,2024-01-01 02:38:38,2,Night,UPI,Groceries,JioMart,Mobile App,Android,Ahmedabad,982.25,Medium (₹500-2K),982.25,0.0,0.0,0.0,0.0,Success,1,0,0,,2.41,Normal,False,0,,False,0,0.0
TXN0001602,USR00364,20240101,2024-01-01 03:23:56,3,Night,UPI,Bills & Utilities,Water Board,Mobile App,Android,Lucknow,1587.52,Medium (₹500-2K),1587.52,0.0,0.0,0.0,0.0,Success,1,0,0,,1.57,Fast,False,0,,False,0,0.0
TXN0001818,USR00168,20240101,2024-01-01 04:08:12,4,Night,UPI,Groceries,Blinkit,Mobile App,Android,Bangalore,1693.89,Medium (₹500-2K),1474.95,0.0,218.94,218.94,12.93,Success,1,0,0,,1.79,Fast,False,0,,False,0,0.0
TXN0000716,USR00209,20240101,2024-01-01 05:18:20,5,Morning,UPI,Food & Dining,Dominos,Mobile App,iOS,Chennai,4197.52,Large (₹2K-10K),4197.52,0.0,0.0,0.0,0.0,Success,1,0,0,,0.74,Instant,False,0,,False,0,0.0
TXN0000741,USR00173,20240101,2024-01-01 06:00:49,6,Morning,UPI,Entertainment,Netflix,Mobile App,Android,Bangalore,1307.9,Medium (₹500-2K),1307.9,0.0,0.0,0.0,0.0,Success,1,0,0,,2.36,Normal,True,1,Unusually High Amount,False,0,0.0
TXN0002281,USR00133,20240101,2024-01-01 06:36:04,6,Morning,Credit Card,Transfers,UPI Transfer,Mobile App,iOS,Pune,27333.5,High (₹10K-50K),27333.5,0.0,0.0,0.0,0.0,Success,1,0,0,,0.64,Instant,False,0,,False,0,0.0
TXN0001417,USR00104,20240101,2024-01-01 06:37:51,6,Morning,UPI,Shopping,Reliance Digital,POS Terminal,POS,Coimbatore,3341.54,Large (₹2K-10K),3341.54,0.0,0.0,0.0,0.0,Success,1,0,0,,2.11,Normal,False,0,,False,0,0.0
TXN0002135,USR00366,20240101,2024-01-01 06:45:16,6,Morning,Credit Card,Travel,RedBus,QR Code,Android,Chandigarh,6598.19,Large (₹2K-10K),6598.19,0.0,0.0,0.0,0.0,Success,1,0,0,,2.39,Normal,False,0,,False,0,0.0
TXN0000965,USR00126,20240101,2024-01-01 07:17:36,7,Morning,UPI,Shopping,Flipkart,POS Terminal,POS,Chennai,1437.63,Medium (₹500-2K),1437.63,0.0,0.0,0.0,0.0,Success,1,0,0,,0.85,Instant,False,0,,False,0,0.0
TXN0001274,USR00396,20240101,2024-01-01 07:19:41,7,Morning,Net Banking,Food & Dining,Swiggy,QR Code,iOS,Kolkata,753.8,Medium (₹500-2K),753.8,0.0,0.0,0.0,0.0,Success,1,0,0,,2.81,Normal,False,0,,False,0,0.0
TXN0001154,USR00461,20240101,2024-01-01 08:00:47,8,Morning,Debit Card,Transfers,UPI Transfer,Mobile App,Android,Delhi,4329.57,Large (₹2K-10K),4329.57,0.0,0.0,0.0,0.0,Success,1,0,0,,1.99,Fast,False,0,,False,0,0.0
TXN0000398,USR00331,20240101,2024-01-01 08:06:53,8,Morning,Net Banking,Health,1mg,POS Terminal,POS,Indore,4628.98,Large (₹2K-10K),4458.36,170.62,0.0,170.62,3.69,Success,1,0,0,,1.73,Fast,False,0,,False,0,0.0
TXN0002559,USR00334,20240101,2024-01-01 08:24:05,8,Morning,Credit Card,Travel,Uber,Mobile App,iOS,Delhi,1223.36,Medium (₹500-2K),1223.36,0.0,0.0,0.0,0.0,Success,1,0,0,,2.6,Normal,False,0,,False,0,0.0
TXN0002393,USR00342,20240101,2024-01-01 08:49:16,8,Morning,UPI,Bills & Utilities,Gas Agency,Web Browser,Mac,Delhi,3614.62,Large (₹2K-10K),3614.62,0.0,0.0,0.0,0.0,Success,1,0,0,,1.81,Fast,False,0,,False,0,0.0
TXN0000861,USR00200,20240101,2024-01-01 09:11:17,9,Morning,Credit Card,Food & Dining,KFC,Mobile App,Android,Delhi,1368.76,Medium (₹500-2K),1368.76,0.0,0.0,0.0,0.0,Success,1,0,0,,2.49,Normal,True,1,New Device Login,True,1,1368.76
