transaction_id,user_id,transaction_datetime,date,year,month,month_name,quarter,quarter_label,day,day_of_week,day_name,hour,time_bucket,week_number,is_weekend,is_month_start,is_month_end,is_festival_season,payment_method,category,merchant,platform,device_type,city,amount,amount_bucket,discount_applied,cashback_earned,total_savings,savings_pct,net_amount,status,failure_reason,processing_time_sec,processing_speed,is_flagged,fraud_reason,is_refunded,refund_amount,age_group,gender,account_tenure,customer_tier,spending_persona,preferred_method,user_home_city,user_total_txns,user_total_spend,user_avg_txn_amount,user_failure_rate_pct,user_spending_tier
TXN0000398,USR00331,2024-01-01 08:06:53,2024-01-01,2024,1,Jan,1,Q1,1,0,Monday,8,Morning,1,0,1,0,0,Net Banking,Health,1mg,POS Terminal,POS,Indore,4628.98,Large (₹2K-10K),0.0,170.62,170.62,3.69,4458.36,Success,None,1.73,Fast,False,None,False,0.0,35-44,Female,2-5 years,Regular,High Spender,Credit Card,Indore,5,25195.66,5039.13,0.0,Medium
TXN0000449,USR00303,2024-01-01 09:13:51,2024-01-01,2024,1,Jan,1,Q1,1,0,Monday,9,Morning,1,0,1,0,0,UPI,Health,MediBuddy,Mobile App,iOS,Bangalore,4090.05,Large (₹2K-10K),0.0,308.24,308.24,7.54,3781.81,Success,None,2.58,Normal,False,None,False,0.0,35-44,Female,2-5 years,Regular,Moderate,UPI,Bangalore,3,9534.630000000001,3178.21,0.0,Low
TXN0000015,USR00333,2024-01-01 09:22:28,2024-01-01,2024,1,Jan,1,Q1,1,0,Monday,9,Morning,1,0,1,0,0,UPI,Entertainment,Amazon Prime,Mobile App,Android,Kochi,440.6,Small (₹100-500),0.0,0.0,0.0,0.0,440.6,Failed,Invalid UPI ID,12.35,Failed,False,None,False,0.0,35-44,Male,2-5 years,VIP,Moderate,UPI,Kochi,10,58528.729999999996,7316.09,20.0,High
TXN0000203,USR00075,2024-01-01 11:16:15,2024-01-01,2024,1,Jan,1,Q1,1,0,Monday,11,Morning,1,0,1,0,0,Debit Card,Groceries,Zepto,Web Browser,Windows,Mumbai,4256.96,Large (₹2K-10K),0.0,0.0,0.0,0.0,4256.96,Success,None,2.68,Normal,False,None,False,0.0,35-44,Other,1-2 years,Premium,High Spender,Debit Card,Mumbai,10,77346.66,9668.33,20.0,High
TXN0000290,USR00361,2024-01-01 11:39:48,2024-01-01,2024,1,Jan,1,Q1,1,0,Monday,11,Morning,1,0,1,0,0,Mobile Wallet,Shopping,Croma,Mobile App,iOS,Hyderabad,6844.34,Large (₹2K-10K),1290.24,194.34,1484.58,21.69,5359.76,Success,None,1.24,Fast,False,None,False,0.0,35-44,Male,0-6 months,Regular,Budget,Credit Card,Hyderabad,10,19255.35,2139.48,10.0,Medium
TXN0000224,USR00025,2024-01-01 12:16:22,2024-01-01,2024,1,Jan,1,Q1,1,0,Monday,12,Afternoon,1,0,1,0,0,Net Banking,Food & Dining,Swiggy,Mobile App,Android,Delhi,3648.06,Large (₹2K-10K),0.0,0.0,0.0,0.0,3648.06,Success,None,1.9,Fast,False,None,False,0.0,18-24,Female,2-5 years,Regular,High Spender,Net Banking,Delhi,10,84154.79,9350.53,10.0,High
TXN0000088,USR00352,2024-01-01 12:44:49,2024-01-01,2024,1,Jan,1,Q1,1,0,Monday,12,Afternoon,1,0,1,0,0,UPI,Bills & Utilities,Water Board,Mobile App,Android,Mumbai,2396.94,Large (₹2K-10K),0.0,0.0,0.0,0.0,2396.94,Success,None,1.68,Fast,False,None,False,0.0,45-54,Female,1-2 years,VIP,Moderate,UPI,Mumbai,13,43602.88,3354.07,0.0,Medium
TXN0000013,USR00131,2024-01-01 12:45:59,2024-01-01,2024,1,Jan,1,Q1,1,0,Monday,12,Afternoon,1,0,1,0,0,UPI,Food & Dining,KFC,POS Terminal,POS,Hyderabad,1512.36,Medium (₹500-2K),0.0,0.0,0.0,0.0,1512.36,Success,None,1.25,Fast,False,None,False,0.0,45-54,Male,2-5 years,Premium,Moderate,Debit Card,Hyderabad,14,111998.22,8615.25,7.14,High
TXN0000337,USR00223,2024-01-01 12:55:45,2024-01-01,2024,1,Jan,1,Q1,1,0,Monday,12,Afternoon,1,0,1,0,0,UPI,Food & Dining,Swiggy,Mobile App,Android,Mumbai,679.53,Medium (₹500-2K),0.0,0.0,0.0,0.0,679.53,Success,None,2.17,Normal,False,None,False,0.0,45-54,Male,2-5 years,Regular,High Spender,Credit Card,Mumbai,10,21501.98,2687.75,20.0,Medium
TXN0000245,USR00248,2024-01-01 13:14:58,2024-01-01,2024,1,Jan,1,Q1,1,0,Monday,13,Afternoon,1,0,1,0,0,Net Banking,Shopping,Flipkart,Mobile App,iOS,Delhi,3845.48,Large (₹2K-10K),750.59,258.5,1009.09,26.24,2836.39,Success,None,1.52,Fast,False,None,False,0.0,35-44,Female,5+ years,New,Moderate,UPI,Delhi,15,48667.7,3743.67,6.67,Medium
