user_id,age_group,gender,account_tenure,customer_tier,spending_persona,preferred_method,user_home_city,user_total_txns,user_total_spend,user_avg_txn_amount,user_failure_rate_pct,user_spending_tier
USR00271,18-24,Female,2-5 years,Regular,Moderate,Credit Card,Mumbai,119,829637.96,7977.29,5.04,Very High
USR00141,45-54,Male,1-2 years,Premium,High Spender,Mobile Wallet,Mumbai,117,1635854.37,15007.84,5.13,Very High
USR00237,25-34,Male,1-2 years,Regular,Budget,Mobile Wallet,Ahmedabad,99,476977.85,5241.51,7.07,Very High
USR00364,25-34,Male,5+ years,Regular,Moderate,UPI,Lucknow,104,663668.5,6772.13,5.77,Very High
USR00168,25-34,Male,6-12 months,Regular,Budget,Net Banking,Bangalore,131,488971.93,3943.32,5.34,Very High
USR00209,25-34,Female,6-12 months,Regular,High Spender,Mobile Wallet,Chennai,118,1630743.45,14824.94,6.78,Very High
USR00173,25-34,Male,1-2 years,Regular,Moderate,UPI,Bangalore,118,700158.89,6543.54,5.08,Very High
USR00133,25-34,Male,2-5 years,Premium,Budget,UPI,Pune,138,505555.15,3949.65,5.8,Very High
USR00104,45-54,Female,5+ years,VIP,Moderate,UPI,Coimbatore,133,911473.02,7350.59,3.76,Very High
USR00366,18-24,Male,1-2 years,Premium,Budget,Debit Card,Chandigarh,119,396471.86,3508.6,4.2,Very High
USR00126,25-34,Female,6-12 months,Regular,Budget,UPI,Chennai,128,572184.2,5154.81,8.59,Very High
USR00396,18-24,Female,5+ years,Regular,High Spender,UPI,Kolkata,117,1304142.55,12539.83,9.4,Very High
USR00461,25-34,Female,5+ years,Regular,Budget,Credit Card,Delhi,98,241544.47,2625.48,3.06,Very High
USR00331,35-44,Female,2-5 years,Regular,High Spender,Credit Card,Indore,133,1368804.54,11800.04,9.77,Very High
USR00334,25-34,Male,2-5 years,Regular,Moderate,UPI,Delhi,121,864818.3200000001,7791.16,5.79,Very High
USR00342,25-34,Male,6-12 months,Premium,Moderate,Debit Card,Delhi,142,691582.35,5811.62,11.97,Very High
USR00200,45-54,Female,2-5 years,Regular,Budget,UPI,Delhi,103,593868.51,6598.54,7.77,Very High
USR00303,35-44,Female,2-5 years,Regular,Moderate,UPI,Bangalore,102,433604.99,4713.1,7.84,Very High
USR00333,35-44,Male,2-5 years,VIP,Moderate,UPI,Kochi,125,592646.13,5109.02,5.6,Very High
USR00450,25-34,Male,2-5 years,New,High Spender,UPI,Bangalore,112,1211111.15,12111.11,8.04,Very High
USR00159,55+,Female,1-2 years,Regular,Budget,Debit Card,Kolkata,126,371601.04,3440.75,9.52,Very High
USR00408,18-24,Female,6-12 months,Regular,Budget,UPI,Bangalore,107,388108.11,3804.98,2.8,Very High
USR00407,25-34,Male,1-2 years,Regular,Moderate,Net Banking,Jaipur,145,919156.29,7125.24,8.28,Very High
USR00075,35-44,Other,1-2 years,Premium,High Spender,Debit Card,Mumbai,127,1340753.26,11865.07,7.87,Very High
USR00440,35-44,Female,1-2 years,VIP,Moderate,UPI,Bangalore,131,591706.96,5145.28,9.16,Very High
USR00205,18-24,Female,1-2 years,Premium,Moderate,Net Banking,Delhi,129,842274.16,7324.12,10.08,Very High
USR00198,55+,Female,2-5 years,Premium,Budget,UPI,Mumbai,113,504091.0,5040.91,8.85,Very High
USR00343,35-44,Female,1-2 years,Premium,Moderate,Net Banking,Chennai,132,901524.61,7329.47,3.79,Very High
USR00455,45-54,Male,2-5 years,New,Budget,UPI,Delhi,137,485364.13,3882.91,5.84,Very High
USR00361,35-44,Male,0-6 months,Regular,Budget,Credit Card,Hyderabad,116,510636.28,4772.3,6.03,Very High
USR00142,35-44,Male,1-2 years,New,Moderate,Credit Card,Bangalore,135,775623.09,6357.57,6.67,Very High
USR00013,25-34,Other,1-2 years,New,Budget,UPI,Bangalore,125,342700.39,2980.0,7.2,Very High
USR00492,18-24,Female,6-12 months,Regular,Impulse,UPI,Lucknow,104,742743.44,8252.7,7.69,Very High
USR00467,45-54,Female,2-5 years,Regular,High Spender,Net Banking,Hyderabad,113,1246820.2,12987.71,10.62,Very High
USR00496,55+,Male,1-2 years,New,Budget,UPI,Mumbai,156,624921.02,4463.72,7.69,Very High
USR00210,18-24,Male,5+ years,Premium,High Spender,UPI,Bangalore,118,1372895.74,12951.85,5.93,Very High
USR00025,18-24,Female,2-5 years,Regular,High Spender,Net Banking,Delhi,132,1722762.58,14724.47,4.55,Very High
USR00310,45-54,Female,1-2 years,New,Budget,Mobile Wallet,Delhi,109,347985.46,3411.62,3.67,Very High
USR00437,35-44,Male,5+ years,Regular,Moderate,UPI,Mumbai,97,727238.53,8555.75,9.28,Very High
USR00394,45-54,Female,5+ years,New,Moderate,Net Banking,Bangalore,114,963545.58,9635.46,10.53,Very High
USR00352,45-54,Female,1-2 years,VIP,Moderate,UPI,Mumbai,106,742079.53,7204.66,1.89,Very High
USR00131,45-54,Male,2-5 years,Premium,Moderate,Debit Card,Hyderabad,125,699308.07,6475.07,10.4,Very High
USR00438,25-34,Male,0-6 months,Premium,Moderate,UPI,Hyderabad,112,986072.85,9573.52,5.36,Very High
USR00223,45-54,Male,2-5 years,Regular,High Spender,Credit Card,Mumbai,121,1308925.48,12008.49,8.26,Very High
USR00456,18-24,Female,2-5 years,Regular,Budget,Mobile Wallet,Chennai,135,691760.23,5764.67,5.93,Very High
USR00248,35-44,Female,5+ years,New,Moderate,UPI,Delhi,118,715429.64,6813.62,8.47,Very High
USR00073,35-44,Male,1-2 years,New,Moderate,UPI,Mumbai,131,1163585.64,9383.76,5.34,Very High
USR00354,35-44,Female,6-12 months,New,Budget,UPI,Bangalore,131,397420.33,3367.97,7.63,Very High
USR00473,25-34,Male,2-5 years,Premium,Moderate,Debit Card,Chandigarh,116,922863.89,8466.64,3.45,Very High
USR00171,25-34,Male,0-6 months,Regular,High Spender,Debit Card,Kolkata,135,1348226.56,10961.19,5.93,Very High
USR00151,45-54,Female,1-2 years,VIP,Budget,Credit Card,Ahmedabad,116,423334.74,4150.34,8.62,Very High
USR00027,18-24,Male,1-2 years,Premium,Budget,UPI,Kochi,125,553940.37,4859.13,5.6,Very High
USR00485,18-24,Female,0-6 months,New,Budget,UPI,Jaipur,124,697611.14,5962.49,3.23,Very High
USR00047,45-54,Male,2-5 years,Regular,Impulse,Net Banking,Jaipur,104,1139433.08,12521.24,4.81,Very High
USR00079,25-34,Female,0-6 months,Premium,Moderate,UPI,Coimbatore,114,596449.6,5735.09,7.02,Very High
USR00358,35-44,Female,1-2 years,Regular,Budget,Credit Card,Jaipur,134,414903.2,3428.95,6.72,Very High
USR00214,55+,Male,5+ years,VIP,Budget,Debit Card,Bangalore,116,367853.71,3606.41,9.48,Very High
USR00006,45-54,Female,5+ years,Regular,High Spender,UPI,Chennai,122,1429427.72,13114.02,6.56,Very High
USR00295,45-54,Female,2-5 years,Regular,Moderate,UPI,Delhi,128,816913.51,7165.91,7.81,Very High
USR00405,45-54,Male,2-5 years,Premium,Moderate,UPI,Mumbai,125,697033.93,6168.44,8.0,Very High
USR00459,18-24,Female,2-5 years,Premium,Budget,UPI,Ahmedabad,119,379760.37,3723.14,9.24,Very High
USR00088,35-44,Male,2-5 years,Regular,Moderate,Credit Card,Delhi,139,804506.32,6487.95,6.47,Very High
USR00196,45-54,Male,1-2 years,VIP,Budget,Credit Card,Delhi,112,427407.97,4149.59,6.25,Very High
USR00430,18-24,Female,1-2 years,Regular,Impulse,UPI,Delhi,138,1169745.16,9433.43,6.52,Very High
USR00218,25-34,Male,2-5 years,Regular,Moderate,Credit Card,Pune,158,1129261.08,7952.54,8.86,Very High
