user_id,city,age_group,gender,account_tenure,customer_tier,spending_persona,preferred_method
USR00001,Pune,18-24,Male,6-12 months,Premium,Moderate,Mobile Wallet
USR00002,Mumbai,25-34,Male,6-12 months,Regular,Budget,UPI
USR00003,Pune,35-44,Male,2-5 years,Premium,Budget,Net Banking
USR00004,Pune,25-34,Male,5+ years,Regular,Budget,UPI
USR00005,Jaipur,35-44,Female,2-5 years,Regular,Impulse,UPI
USR00006,Chennai,45-54,Female,5+ years,Regular,High Spender,UPI
USR00007,Delhi,25-34,Male,6-12 months,New,Budget,Debit Card
USR00008,Bangalore,25-34,Male,6-12 months,VIP,Moderate,Debit Card
USR00009,Delhi,35-44,Male,1-2 years,VIP,Moderate,Credit Card
USR00010,Pune,45-54,Female,6-12 months,New,Moderate,UPI
USR00011,Delhi,55+,Female,1-2 years,Premium,Moderate,Mobile Wallet
USR00012,Hyderabad,25-34,Male,2-5 years,Regular,Moderate,Mobile Wallet
USR00013,Bangalore,25-34,Other,1-2 years,New,Budget,UPI
USR00014,Chennai,45-54,Male,0-6 months,Regular,Impulse,Credit Card
USR00015,Kochi,45-54,Male,2-5 years,Premium,Moderate,UPI
USR00016,Pune,18-24,Male,1-2 years,VIP,High Spender,UPI
USR00017,Hyderabad,18-24,Female,5+ years,Regular,Moderate,Debit Card
USR00018,Mumbai,35-44,Female,2-5 years,Regular,Budget,UPI
USR00019,Mumbai,55+,Female,5+ years,Regular,Budget,Mobile Wallet
USR00020,Indore,18-24,Male,0-6 months,Premium,High Spender,UPI
USR00021,Hyderabad,35-44,Male,5+ years,Regular,Budget,Credit Card
USR00022,Kolkata,25-34,Male,5+ years,Premium,Moderate,Credit Card
USR00023,Mumbai,25-34,Male,2-5 years,Regular,Budget,UPI
USR00024,Pune,25-34,Female,5+ years,New,Budget,Debit Card
USR00025,Delhi,18-24,Female,2-5 years,Regular,High Spender,Net Banking
USR00026,Delhi,18-24,Male,1-2 years,Regular,High Spender,Debit Card
